HITId,HITTypeId,AssignmentId,WorkerId,WorkTimeInSeconds,Context,Input Number,Question,Answer,Clarity,Fluency,Grammatical,Present,Generated
3BS6ERDL937410Z5ZEYYZQS6LNQD6U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3Z7ISHFUH0VWUZLJBDQVYG2LIA68ZN,A2YBZFSUD5OP7W,279,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,robert maynard hutchins de-emphasized varsity athletics,5,4,TRUE,TRUE,FALSE
3BS6ERDL937410Z5ZEYYZQS6LNQD6U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3ZR9AIQJUB9Y9DSRVGNQB5JUYHR04G,A610SH5RY1NG1,137,"however, the university chose to withdraw from the conference in 1946 after university president robert maynard hutchins de-emphasized varsity athletics in 1939 and dropped football.",121,why did the university eventually leave the conference?,robert maynard hutchins de-emphasized varsity athletics,4,4,TRUE,TRUE,FALSE
3538U0YQ1FU221QJ7IVQGNJ7N943FP,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,386CSBG1OZM0CT14V2AKN9UQ7CW6Q6,A3696JXTRKL2FI,292,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,4,5,TRUE,TRUE,FALSE
3538U0YQ1FU221QJ7IVQGNJ7N943FP,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3A0EX8ZRN8OFR79LI38MBBJKKMOYBM,A2VE5IV9OD2SK1,186,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,5,5,TRUE,TRUE,FALSE
3538U0YQ1FU221QJ7IVQGNJ7N943FP,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3EG49X351UCKLQ2GHG5CHHQJ4FHX6S,A1Z6F6EIUJFC6T,148,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,4,3,TRUE,FALSE,FALSE
3538U0YQ1FU221QJ7IVQGNJ7N943FP,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3HQUKB7LNFE3WPMI8VEUBMRFP3GHHM,A37WDOIQH6JM6V,272,"in bays where they occur in very high numbers, predation by ctenophores may control the populations of small zooplanktonic organisms such as copepods, which might otherwise wipe out the phytoplankton (planktonic plants), which are a vital part of marine food chains.",194,what are phytoplankton?,planktonic plants,5,5,TRUE,TRUE,FALSE
3D06DR5225J8SWHL2KEDYLHMQK8AMZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,337RC3OW052A0M0S45AWIFBVEZZVLW,A1Z6F6EIUJFC6T,213,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who approved of this plan?,william h. maxwell,3,4,TRUE,TRUE,TRUE
3D06DR5225J8SWHL2KEDYLHMQK8AMZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3C6FJU71TQTUN6IRIUPHG1B897VYU3,A3BI0AX5T5GVO3,151,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who approved of this plan?,william h. maxwell,3,4,TRUE,TRUE,TRUE
3D06DR5225J8SWHL2KEDYLHMQK8AMZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3IJXV6UZ1XJGHEB5AI89P2U0CPTRIM,A2J2P9JE374XCM,138,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who approved of this plan?,william h. maxwell,5,5,TRUE,TRUE,TRUE
3D06DR5225J8SWHL2KEDYLHMQK8AMZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3QL2OFSM96I4PDXDP1V65FRVYNKNCS,A23S6QOSZH9TMT,392,"the plan was, at least provisionally approved by then superintendent of new york city schools, william h. maxwell.",51,who approved of this plan?,william h. maxwell,5,5,TRUE,TRUE,TRUE
3QGTX7BCHP2BLX4NMDDQYCX9DAP5Z5,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,35H6S234SA0BJ7I6BAMHPYZZBGA65U,A3696JXTRKL2FI,300,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,"2,000",5,5,TRUE,TRUE,FALSE
3QGTX7BCHP2BLX4NMDDQYCX9DAP5Z5,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,39N5ACM9HEN2U02NTWY77EVISHG9PR,A26TY8FHMJ183C,252,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,"2,000",5,5,TRUE,TRUE,FALSE
3QGTX7BCHP2BLX4NMDDQYCX9DAP5Z5,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3BWI6RSP7G9UJQP45LKCZ658JKT7EV,A2LU259QPV1I4V,376,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,"2,000",5,5,TRUE,TRUE,FALSE
3QGTX7BCHP2BLX4NMDDQYCX9DAP5Z5,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3CFVK00FWLLPLWLR3X2O6NVWX6A6LI,A3BI0AX5T5GVO3,111,"warsaw university of technology is the second academic school of technology in the country, and one of the largest in east-central europe, employing 2,000 professors.",118,how many professors does the warsaw university of technology employ?,"2,000",4,5,TRUE,TRUE,FALSE
3NI0WFPPI9GA2GYBN2A3KJ8NRYH60U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,34PGFRQONOBHKLCXRU3FO2HHHJXJWT,A1Z6F6EIUJFC6T,266,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and ceo,3,4,TRUE,TRUE,FALSE
3NI0WFPPI9GA2GYBN2A3KJ8NRYH60U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3CN4LGXD5XOV68OC3OYZ3XDEAU74YM,A3696JXTRKL2FI,284,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and ceo,5,5,TRUE,TRUE,FALSE
3NI0WFPPI9GA2GYBN2A3KJ8NRYH60U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3N2BF7Y2VQUPO3NTZSU73RZB6PFMH0,A610SH5RY1NG1,122,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and ceo,5,5,TRUE,TRUE,FALSE
3NI0WFPPI9GA2GYBN2A3KJ8NRYH60U,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3QUO65DNQUOITSEPC7GJEAD6VXUUOM,A8TIL9U6YHG5,400,"woods retained his position as president and ceo of abc until december 1949, and was subsequently promoted to vice-chairman of the board before leaving abc altogether on june 30, 1951.",113,what position did mark woods take on at the new american broadcasting company?,president and ceo,5,5,TRUE,TRUE,FALSE
3N5YJ55YXG3EAE2LELTDB06MVAIANZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3HRMW88U16QED3HX1KNMXZ0UK8E0MD,A8TIL9U6YHG5,276,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what language is used in chinese primary schools in malaysia?,english-medium,5,5,FALSE,TRUE,TRUE
3N5YJ55YXG3EAE2LELTDB06MVAIANZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3IAEQB9FMEK4HZC5HYH4L4M4CZZDW8,A610SH5RY1NG1,182,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what language is used in chinese primary schools in malaysia?,english-medium,2,4,TRUE,FALSE,TRUE
3N5YJ55YXG3EAE2LELTDB06MVAIANZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3IFS6Q0HJIJSITBIP78EFCZWYRCSIB,A2LU259QPV1I4V,357,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what language is used in chinese primary schools in malaysia?,english-medium,4,4,TRUE,TRUE,TRUE
3N5YJ55YXG3EAE2LELTDB06MVAIANZ,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3X87C8JFV6B5ZRZ12FDNOEQIP1TQSC,A23S6QOSZH9TMT,281,"while chinese primary schools were allowed to retain chinese as the medium of instruction, chinese secondary schools are required to change into english-medium schools.",95,what language is used in chinese primary schools in malaysia?,english-medium,5,5,TRUE,TRUE,TRUE
3BO3NEOQM0HMWDRUH5GL6SA59BOIAR,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3K3R2QNK8B3FM5AJAIX1HKIH0Y89UN,A2TT6FAIWFD25N,169,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,how many chloroplasts per cell does algae have?,1,5,5,TRUE,TRUE,TRUE
3BO3NEOQM0HMWDRUH5GL6SA59BOIAR,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3L4D84MILZSZNVH8WVHFNZ7U2VJJHS,A1Z6F6EIUJFC6T,151,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,how many chloroplasts per cell does algae have?,1,3,2,TRUE,FALSE,TRUE
3BO3NEOQM0HMWDRUH5GL6SA59BOIAR,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3OS4RQUCR9F9RGSQDDGYMQC4EBWFB4,A2541C8MY0BYV3,216,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,how many chloroplasts per cell does algae have?,1,5,5,TRUE,TRUE,TRUE
3BO3NEOQM0HMWDRUH5GL6SA59BOIAR,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3PEIJLRY6TTIF5HM8YIGFBPWSHCXWV,A3BI0AX5T5GVO3,186,the number of chloroplasts per cell varies from 1 in algae up to 100 in plants like arabidopsis and wheat.,44,how many chloroplasts per cell does algae have?,1,4,5,TRUE,TRUE,TRUE
3SX4X51T809WSZ2XF0TQQP6RLKNAOE,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,30H4UDGLT2IH1KLHI52CC012SGPPM8,A3696JXTRKL2FI,294,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,materials readily available in the area,5,4,TRUE,TRUE,FALSE
3SX4X51T809WSZ2XF0TQQP6RLKNAOE,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3DQQ64TANGLD6WFVM78ZLY3TQI3WP6,A3BI0AX5T5GVO3,104,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,materials readily available in the area,4,4,TRUE,TRUE,FALSE
3SX4X51T809WSZ2XF0TQQP6RLKNAOE,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3EO896NRAWVPS483WPY41IAIDPFTJD,A2VE5IV9OD2SK1,220,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,materials readily available in the area,5,5,TRUE,TRUE,FALSE
3SX4X51T809WSZ2XF0TQQP6RLKNAOE,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3NXNZ5RS1AXDOUYNXA4Q7S4XSNC79K,A1Z6F6EIUJFC6T,212,"materials readily available in the area generally dictate the construction materials used (e.g. brick versus stone, versus timber).",110,what generally dictates the construction materials used?,materials readily available in the area,4,3,TRUE,FALSE,FALSE
35F6NGNVM8JUMP974E35A8AOJKY7T6,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,31N2WW6R9RQ4OLODYK1S47ESQJJF3D,A2DQPRIY1W73NY,267,"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,3,3,FALSE,FALSE,FALSE
35F6NGNVM8JUMP974E35A8AOJKY7T6,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,37XITHEISW9P4BP5I8CNEZW5ZK7CR3,A2SBISQJE2ZPJQ,316,"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,3,4,TRUE,TRUE,FALSE
35F6NGNVM8JUMP974E35A8AOJKY7T6,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3RGU30DZTA8LF9IJNSXSF4FQJHKMJ6,A3BI0AX5T5GVO3,92,"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,4,4,TRUE,TRUE,FALSE
35F6NGNVM8JUMP974E35A8AOJKY7T6,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3WMINLGALB3X5U3OGXQ1J97VZGJCAV,A2541C8MY0BYV3,158,"on the evening of the same day, the couple was married by bugenhagen.",136,at what point in the day was the couple married?,evening,5,5,TRUE,TRUE,FALSE
3SSN80MU8COPYLPBSITB3G0G20MKX8,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,35K3O9HUABD7YJ4AN4IONYIPH8BFE6,A2LU259QPV1I4V,369,parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,parliamentary time,5,5,TRUE,TRUE,FALSE
3SSN80MU8COPYLPBSITB3G0G20MKX8,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3B1NLC6UGZWH9APV724HZVH5WUDPG0,A610SH5RY1NG1,147,parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,parliamentary time,5,5,TRUE,TRUE,FALSE
3SSN80MU8COPYLPBSITB3G0G20MKX8,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3UOUJI6MTDE5N1SHDY3FXN4Z711XUW,A3BI0AX5T5GVO3,107,parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,parliamentary time,3,4,TRUE,TRUE,FALSE
3SSN80MU8COPYLPBSITB3G0G20MKX8,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3ZPBJO59KP1MK9HGMZV4K1CHXBQDHC,A1STU8IA7S3WOK,199,parliamentary time is also set aside for question periods in the debating chamber.,183,what is set aside for question periods in the debating chamber?,parliamentary time,5,5,TRUE,TRUE,FALSE
3UUSLRKAUL3N50DAIO3Q54S2GYAD7T,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,33FOTY3KEML1B6QOKEX888ESVMGC1A,A3BI0AX5T5GVO3,126,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,3,5,TRUE,TRUE,FALSE
3UUSLRKAUL3N50DAIO3Q54S2GYAD7T,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,37QW5D2ZRGMZTNZ5GLWN2N5IVV68SI,A3696JXTRKL2FI,230,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,5,4,TRUE,TRUE,FALSE
3UUSLRKAUL3N50DAIO3Q54S2GYAD7T,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,39GAF6DQWR0XAFWOBVSDY02HGTY1V0,A3862RIFFUV141,301,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,5,5,TRUE,TRUE,FALSE
3UUSLRKAUL3N50DAIO3Q54S2GYAD7T,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,39U1BHVTDLRE7Q6ET46HLBTTHST3TB,A610SH5RY1NG1,135,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",191,what prompted shen kuo to believe the land was formed by erosion of the mountains?,his observation of fossil animal shells,5,5,TRUE,TRUE,FALSE
3BVS8WK9Q0VRFNWMNJGH13UBRT9IBM,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3G2UL9A02DEQ6BWPZ31ENIDV2M4678,A610SH5RY1NG1,93,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,what prompted shen kuo to believe the land was formed by erosion of the mountains?,deposition of silt,5,5,TRUE,TRUE,TRUE
3BVS8WK9Q0VRFNWMNJGH13UBRT9IBM,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3L6L49WXW0XX4KESSMT2S0FLFP1454,AR1IWBDA7MC86,336,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,what prompted shen kuo to believe the land was formed by erosion of the mountains?,deposition of silt,1,1,FALSE,TRUE,TRUE
3BVS8WK9Q0VRFNWMNJGH13UBRT9IBM,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3OB0CAO74HPPIKC7IVIIXMMIFZTYH2,AU2NVT51E749C,248,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,what prompted shen kuo to believe the land was formed by erosion of the mountains?,deposition of silt,4,3,TRUE,TRUE,TRUE
3BVS8WK9Q0VRFNWMNJGH13UBRT9IBM,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3RXCAC0YIRPW3IQELL26D9MF7KDG87,A2VE5IV9OD2SK1,240,"in china, the polymath shen kuo (1031 -- 1095) formulated a hypothesis for the process of land formation: based on his observation of fossil animal shells in a geological stratum in a mountain hundreds of miles from the ocean, he inferred that the land was formed by erosion of the mountains and by deposition of silt.",91,what prompted shen kuo to believe the land was formed by erosion of the mountains?,deposition of silt,4,4,TRUE,TRUE,TRUE
386659BNTLHFVUXEHWYMPNH6JN110R,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,31UV0MXWNQCRCRD7DBV6M1P4K73I5Y,A2FBT0BSFOV91D,287,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what kind of territories are being destroyed by ecocide in the amazon?,indigenous,5,4,TRUE,TRUE,TRUE
386659BNTLHFVUXEHWYMPNH6JN110R,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3DPNQGW4LLFTNOE6X537K6TLBKF46N,A610SH5RY1NG1,83,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what kind of territories are being destroyed by ecocide in the amazon?,indigenous,5,5,TRUE,TRUE,TRUE
386659BNTLHFVUXEHWYMPNH6JN110R,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3VW04L3ZLT6X45MCI3E2HU331JIXXO,A37WDOIQH6JM6V,228,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what kind of territories are being destroyed by ecocide in the amazon?,indigenous,5,5,TRUE,TRUE,TRUE
386659BNTLHFVUXEHWYMPNH6JN110R,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3ZGVPD4G6THFSJD7EB1QPCY8WNQZT2,A3696JXTRKL2FI,142,"as indigenous territories continue to be destroyed by deforestation and ecocide, such as in the peruvian amazon indigenous peoples' rainforest communities continue to disappear, while others, like the urarina continue to struggle to fight for their cultural survival and the fate of their forested territories.",84,what kind of territories are being destroyed by ecocide in the amazon?,indigenous,3,4,TRUE,TRUE,TRUE
3M4KL7H8KVNA95JTJLE3YORXWQN61X,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3QXNC7EIPIVZ6JY3CBJHSDUAK9709E,A3BI0AX5T5GVO3,239,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,3,4,TRUE,TRUE,FALSE
3M4KL7H8KVNA95JTJLE3YORXWQN61X,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3STRJBFXOWRK3OELEAYG2XAVSEEKT2,A37WDOIQH6JM6V,335,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,4,5,TRUE,TRUE,FALSE
3M4KL7H8KVNA95JTJLE3YORXWQN61X,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3X65QVEQI0NE1DUSDOFRSNN6TSKCLF,A610SH5RY1NG1,136,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,5,5,TRUE,TRUE,FALSE
3M4KL7H8KVNA95JTJLE3YORXWQN61X,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,3YGXWBAF70HI35N77WGA66LV76N4CC,A4W9APAHFWVLO,257,a similar method is the electrocatalytic o2 evolution from oxides and oxoacids.,137,what is the source of oxygen production through electrocatalytic means?,oxides and oxoacids,3,4,TRUE,TRUE,FALSE
3WGZLY9VCHMR5EITSTVWJ4OXRIGD8G,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,30JNVC0OR9KG9ILLRL1OK0JGGQEHQK,A2J2P9JE374XCM,197,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,28,what does oxidative phosphorylation do?,generate atp energy,5,5,TRUE,TRUE,TRUE
3WGZLY9VCHMR5EITSTVWJ4OXRIGD8G,3MCFX9UVS0LB9XBXCYTZXE6XTLR68I,37WLF8U1WPQE1Q39IXQNRNIH8656KF,A3BI0AX5T5GVO3,47,this is not a valid comparison -- the inner mitochondria membrane is used to run proton pumps and carry out oxidative phosphorylation across to generate atp energy.,28,what does oxidative phosphorylation do?,generate atp energy,4,4,TRUE,TRUE,TRUE
