SUM of Grammatical_Num,WorkerId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,,A11GWWAXRJQ6Y2,A14W0AXTJ3R19V,A15A09BRS1Q8W0,A1CSDIX05PK9V,A1DVKS3R9SLQ1H,A1F1BIPJR11LSR,A1FGKIKJYSL1MI,A1GKEEI844CEKI,A1IZ4NX41GKU4X,A1MIR0TP081SKT,A1NGXQMOBCXDC3,A1NOINYD1FZ55T,A1UH396UOK0X9Z,A1V2H0UF94ATWY,A21AVVEQUEX7DA,A28A3HF3LSEIDT,A2QD7QFGCUNF5N,A2RR3R75ECQSKE,A2SBISQJE2ZPJQ,A2V3P1XE33NYC3,A2VE5IV9OD2SK1,A2WTDVHVVORNDU,A2YYQJ3JWA2KGD,A3862RIFFUV141,A3C3RLZKKHH1FC,A3DZ46U9XRLVBI,A3N7R7P9HP2YB6,A3NHMKVK98NY7I,A3SKEW89V5S0DI,A3U21PUMQ6NGT2,A4W9APAHFWVLO,A5LYLHG880ABE,AE03LUY7RH400,AHV4U78TUUDKI,AOUMYCLO4I993,AQD91RFHV1WNE,AUOYNTK0GOFOM,AW0K78T4I2T72,Grand Total
49,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,0,,,1,2
50,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
51,,,,,,,0,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,3
52,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
53,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,4
54,,,,,,0,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3
55,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,3
56,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
57,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
58,,,,0,,,,,,,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,1
59,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
60,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,4
61,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
62,,,,,,,,,0,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,3
63,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
64,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
65,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
66,,,,0,,,,,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,,1,,,,,0,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,2
68,,,,0,,,,,,,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2
69,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,0,,3
70,,,,1,,,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,3
71,,,,1,,,,,,0,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3
72,,,,,,1,,,,1,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,3
73,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
74,,1,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,3
75,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
76,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
77,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,1,,,,,1,,3
78,,,,0,,,,,,0,,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1
79,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
80,,,,,,0,,,,0,,,,,,,,,,,,0,,,1,,,,,,,,,,,,,,,1
81,,,,,,1,,,,1,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,2
82,,1,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,3
83,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
84,,,,0,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3
85,,,0,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2
86,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
87,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
88,,,,,,0,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3
89,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
90,,1,,,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,3
91,,,,,,,,,0,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,3
92,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
93,,,,1,,,,,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
94,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,,,,1,,,,,1,,3
95,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,1
96,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
97,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
98,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
99,,1,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,3
100,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
101,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
102,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
103,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
104,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
105,,1,,,,,0,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,2
106,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
107,,,,1,,,,,,1,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
108,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
109,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
110,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
111,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
112,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
113,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
114,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
115,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
116,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
117,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
118,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
119,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,4
120,,,,1,,,,,,,,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,3
121,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
122,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
123,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
124,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,4
125,,,,,,0,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3
126,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
127,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
128,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
129,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
130,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
131,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
132,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
133,,,,1,,,,,,,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,2
134,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
135,,,,,,,,0,,,,1,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,2
136,,,,,,,0,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,3
137,,,,1,,,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,3
138,,,,1,,,,,,1,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
139,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
140,,,,,,,,,0,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,3
141,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
142,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
143,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
144,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
145,,,,,,,,0,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,3
146,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
147,,,,,,0,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3
148,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
149,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,4
150,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
151,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
152,,,,1,,,,,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,3
153,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
154,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,4
155,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
156,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
157,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
158,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
159,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,0,,3
160,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
161,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,4
162,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
163,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,4
164,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,4
165,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
166,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,4
167,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,4
168,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4
169,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
170,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,3
171,,,,,,0,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3
172,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
173,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
174,,,,1,,,,,,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
175,,1,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,4
176,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
177,,,,0,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
178,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,4
179,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
180,,,,1,,,,,,,0,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
181,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
182,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
183,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,4
184,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4
185,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
186,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,4
187,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
188,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,4
189,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,4
190,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,4
191,,,,1,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4
192,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
193,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,3
194,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,4
195,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
196,,,,,,,,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,4
197,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,4
198,,,,,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,4
199,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,4
200,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,1,4
Grand Total,0,40,9,59,10,4,35,6,17,51,7,79,8,6,8,39,60,30,3,15,8,8,9,8,18,30,10,9,10,9,8,9,20,10,8,8,19,7,10,704
